,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5064316,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,4756672,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",4369458,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Toosie Slide",Drake,3844600,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
5,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,3803513,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,"THE SCOTTS","THE SCOTTS",3571797,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,GOOBA,6ix9ine,3473979,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
8,"Stuck with U (with Justin Bieber)","Ariana Grande",3459961,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
9,"Don't Start Now","Dua Lipa",3198817,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
10,"Blueberry Faygo","Lil Mosey",2906318,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
11,"Dance Monkey","Tones And I",2870271,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,"The Box","Roddy Ricch",2778977,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,"Break My Heart","Dua Lipa",2662126,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
14,Supalonely,BENEE,2644017,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2487357,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
16,"Intentions (feat. Quavo)","Justin Bieber",2296385,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
17,"Sunday Best",Surfaces,2208933,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,Falling,"Trevor Daniel",2198471,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
19,"Say So","Doja Cat",2144314,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
20,"Someone You Loved","Lewis Capaldi",2088251,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Safaera,"Bad Bunny",2041037,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
22,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",2013709,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
23,"Boss Bitch","Doja Cat",1976529,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
24,Circles,"Post Malone",1967602,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"Say So (feat. Nicki Minaj)","Doja Cat",1933122,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
26,"Yo Perreo Sola","Bad Bunny",1909330,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
27,"Play Date","Melanie Martinez",1898460,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
28,"Adore You","Harry Styles",1884223,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,goosebumps,"Travis Scott",1858635,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
30,"Be Kind (with Halsey)",Marshmello,1856984,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
31,ROXANNE,"Arizona Zervas",1845645,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
32,"Life Is Good (feat. Drake)",Future,1825197,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
33,"WHATS POPPIN","Jack Harlow",1811847,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
34,"Party Girl",StaySolidRocky,1758776,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
35,"SICKO MODE","Travis Scott",1740294,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
36,Tusa,"KAROL G",1705592,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
37,"In Your Eyes","The Weeknd",1682957,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
38,"HIGHEST IN THE ROOM","Travis Scott",1622186,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
39,"Before You Go","Lewis Capaldi",1596942,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,"Breaking Me",Topic,1582095,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
41,Physical,"Dua Lipa",1581999,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
42,Righteous,"Juice WRLD",1560391,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
43,"After Party","Don Toliver",1549025,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
44,Memories,"Maroon 5",1521059,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
45,Favorito,Camilo,1489558,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
46,Rojo,"J Balvin",1486524,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
47,"bad guy","Billie Eilish",1478334,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
48,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1458924,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
49,"Lose Somebody",Kygo,1419902,https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3
50,Señorita,"Shawn Mendes",1389407,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
51,"Solitaires (feat. Travis Scott)",Future,1290330,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
52,Savage,"Megan Thee Stallion",1283107,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
53,"PA' ROMPERLA","Bad Bunny",1273432,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
54,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1239576,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
55,"everything i wanted","Billie Eilish",1238828,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
56,"Godzilla (feat. Juice WRLD)",Eminem,1233890,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
57,PORFA,Feid,1215139,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
58,"BYE ME FUI","Bad Bunny",1199784,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
59,"Ride It",Regard,1188540,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
60,Skechers,DripReport,1187411,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
61,Daisies,"Katy Perry",1186737,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
62,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1179649,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
63,"Chicago Freestyle (feat. Giveon)",Drake,1174416,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
64,"Watermelon Sugar","Harry Styles",1172749,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
65,"lovely (with Khalid)","Billie Eilish",1159857,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,Amarillo,"J Balvin",1110568,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
67,"Lucid Dreams","Juice WRLD",1086325,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
68,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1084563,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
69,Tattoo,"Rauw Alejandro",1082987,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
70,MAMACITA,"Black Eyed Peas",1075616,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
71,"La Difícil","Bad Bunny",1073414,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
72,Salt,"Ava Max",1057522,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
73,"hot girl bummer",blackbear,1047494,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
74,"Lose Control",MEDUZA,1036498,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
75,Ignorantes,"Bad Bunny",1022817,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
76,"I Don't Care (with Justin Bieber)","Ed Sheeran",1012730,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
77,Morado,"J Balvin",988300,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
78,"BAD CON NICKY","Bad Bunny",970204,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
79,"Si Veo a Tu Mamá","Bad Bunny",954704,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
80,"RITMO (Bad Boys For Life)","Black Eyed Peas",941299,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
81,Diosa,"Myke Towers",936661,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
82,Yummy,"Justin Bieber",933880,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
83,"10,000 Hours (with Justin Bieber)","Dan + Shay",925544,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
84,"CANCIÓN CON YANDEL",Yandel,922837,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
85,Fame,"Apache 207",922299,https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT
86,Shallow,"Lady Gaga",919502,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
87,"MÁS DE UNA CITA","Bad Bunny",918661,https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL
88,"Ballin' (with Roddy Ricch)",Mustard,902748,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
89,"when the party's over","Billie Eilish",885615,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
90,Falling,"Harry Styles",881784,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
91,"I’m Ready (with Demi Lovato)","Sam Smith",878065,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
92,"Like That (feat. Gucci Mane)","Doja Cat",876054,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
93,"CITY OF ANGELS",24kGoldn,872810,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
94,"BELIEVE IT",PARTYNEXTDOOR,871386,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
95,"In Your Eyes (feat. Alida)","Robin Schulz",871101,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
96,"7 rings","Ariana Grande",870833,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
97,"Beautiful People (feat. Khalid)","Ed Sheeran",869359,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
98,"Level of Concern","Twenty One Pilots",866862,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
99,"CÓMO SE SIENTE - Remix","Jhay Cortez",866454,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
100,"High Fashion (feat. Mustard)","Roddy Ricch",865208,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
101,"You should be sad",Halsey,860995,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
102,"This City","Sam Fischer",858364,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
103,Selfish,"Madison Beer",856839,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
104,"Know Your Worth",Khalid,856367,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
105,Believer,"Imagine Dragons",848412,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
106,"Flex (feat. Juice WRLD)","Polo G",847317,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
107,"Kings & Queens","Ava Max",839465,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
108,"Pain 1993 (with Playboi Carti)",Drake,835498,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
109,"rockstar (feat. 21 Savage)","Post Malone",833798,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
110,"eight(Prod.&Feat. SUGA of BTS)",IU,806530,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
111,"Jocelyn Flores",XXXTENTACION,802347,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
112,"Hola - Remix",Dalex,801408,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
113,Ransom,"Lil Tecca",799828,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
114,SAD!,XXXTENTACION,796420,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
115,"All Bad (feat. Lil Uzi Vert)",Future,791332,https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8
116,Happier,Marshmello,786070,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
117,"Turks (with Gunna & ft. Travis Scott)",NAV,779646,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
118,"X (with KAROL G)","Jonas Brothers",779530,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
119,"Sigues Con El","Dímelo Flow",778168,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
120,P2,"Lil Uzi Vert",777762,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
121,Myron,"Lil Uzi Vert",769747,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
122,"La Santa","Bad Bunny",767301,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
123,Vete,"Bad Bunny",766295,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
124,"It's You","Ali Gatie",764169,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
125,Lalala,Y2K,763557,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
126,"Say You Won't Let Go","James Arthur",759545,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
127,"Shape of You","Ed Sheeran",756413,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
128,"Go Stupid","Polo G",756093,https://open.spotify.com/track/4PklAHGXT5ityno3IA8SKd
129,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",748718,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
130,"Bohemian Rhapsody - 2011 Mix",Queen,748052,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
131,Robbery,"Juice WRLD",747648,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
132,"El Efecto","Rauw Alejandro",743336,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
133,"Without Me",Halsey,742372,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
134,BOP,DaBaby,738934,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
135,Azul,"J Balvin",737365,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
136,Perfect,"Ed Sheeran",736663,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
137,"Trillionaire (feat. Youngboy Never Broke Again)",Future,735367,https://open.spotify.com/track/740kQ8xwSGloumdiKR5Cwz
138,Relación,Sech,730588,https://open.spotify.com/track/4lMOQR1rRW5hJgJXOtKraL
139,July,"Noah Cyrus",721886,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
140,"No Idea","Don Toliver",720880,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
141,"What A Man Gotta Do","Jonas Brothers",720100,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
142,"OUT WEST (feat. Young Thug)",JACKBOYS,716341,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
143,"Goodbyes (Feat. Young Thug)","Post Malone",712493,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
144,Jangueo,"Alex Rose",709708,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
145,"Lose You To Love Me","Selena Gomez",707737,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
146,"No Me Conoce - Remix","Jhay Cortez",706003,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
147,China,"Anuel AA",704813,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
148,Bruises,"Lewis Capaldi",704563,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
149,"LA CANCIÓN","J Balvin",704401,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
150,"Lights Up","Harry Styles",702859,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
151,Astronomia,Vicetone,695595,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
152,"Get You The Moon (feat. Snøw)",Kina,693282,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
153,Sucker,"Jonas Brothers",689753,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
154,"La Jeepeta - Remix","Nio Garcia",683860,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
155,"My Oh My (feat. DaBaby)","Camila Cabello",681695,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
156,"Like It Is",Kygo,680587,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
157,Youngblood,"5 Seconds of Summer",679939,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
158,"Sweet but Psycho","Ava Max",679928,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
159,"Be Alright","Dean Lewis",677583,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
160,"Make You Mine",PUBLIC,677027,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
161,PAM,"Justin Quiles",670663,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
162,"The Less I Know The Better","Tame Impala",667209,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
163,"El Efecto - Remix","Rauw Alejandro",665428,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
164,Fantasias,"Rauw Alejandro",665408,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
165,"Old Town Road - Remix","Lil Nas X",664296,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
166,Wow.,"Post Malone",662639,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
167,"Money In The Grave (Drake ft. Rick Ross)",Drake,657002,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
168,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",656094,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
169,"Deep End Freestyle","Sleepy Hallow",653675,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
170,"After Hours","The Weeknd",653176,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
171,Heartless,"The Weeknd",652893,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
172,"All of Me","John Legend",651103,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
173,"Be Something (feat. Lil Baby)","Polo G",649738,https://open.spotify.com/track/65jw6GhwQW3Db55PxlPEpS
174,"I Like Me Better",Lauv,648503,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
175,Moonlight,XXXTENTACION,645971,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
176,Airwaves,Pashanim,645354,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
177,Callaita,"Bad Bunny",643984,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
178,Muévelo,"Nicky Jam",640262,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
179,"thank u, next","Ariana Grande",637597,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
180,"Piece Of Your Heart",MEDUZA,637357,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
181,"Dancing With A Stranger (with Normani)","Sam Smith",633963,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
182,"Never Seen the Rain","Tones And I",633690,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
183,Dior,"Pop Smoke",630126,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
184,"BUTTERFLY EFFECT","Travis Scott",629497,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
185,Surrender,"Natalie Taylor",627829,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
186,"Let Me Down Slowly","Alec Benjamin",625827,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
187,"Higher Love",Kygo,623649,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
188,"ocean eyes","Billie Eilish",620322,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
189,"Racks 2 Skinny",Migos,620318,https://open.spotify.com/track/568OIKgeHyGRD3uWR44JbO
190,"High Hopes","Panic! At The Disco",618755,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
191,"Moral of the Story",Ashe,617383,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
192,PTSD,"G Herbo",616116,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
193,BENDICIONES,"Bad Bunny",614602,https://open.spotify.com/track/2CoMYp2uIKsT09nreEZnZn
194,"Better Now","Post Malone",614501,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
195,"Rover (feat. DTG)",S1mba,611199,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
196,"Something Just Like This","The Chainsmokers",610981,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
197,"Can We Kiss Forever?",Kina,610740,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
198,"If I Can't Have You","Shawn Mendes",609814,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
199,"SLOW DANCING IN THE DARK",Joji,606577,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
200,"Sigues Con El - Remix",Arcangel,604875,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
